19,10,6,75,mysql,1c3bf95e21e91e89fd64688e7df07ff8ea4a21e7,取消provider=mysql,,resource-database_user-type-modify,resource-database_grant-type-modify,,,,
19,10,6,81,mysql,1c3bf95e21e91e89fd64688e7df07ff8ea4a21e7,取消provider=mysql,,resource-concat::fragment-owner-delete,resource-concat::fragment-mode-delete,,,,
14,5,3,35,mysql,1da8ae7a280a69937af3783daa2abd0d59de6a2f,缺少花括号导致作用域混乱,,resource-class-title-modify,resource-class-title-modify,,,,
-1,-1,-1,238,postgresql,1eb45d07f163ab3e3fd117d9de4bc4351b228853,自定义类增加参数proxy,,type-ifstatement-vardef-modify,ifstatement-if-test-modify,resource-file-type-modify,,,
12,1,1,197,postgresql,1eb45d07f163ab3e3fd117d9de4bc4351b228853,增加类参数proxy,,hostclass-type-argument-add,hostclass-type-argument-modify,,,,
4,17,-1,171,postgresql,246725cfb98b2988514ce7a4a71f4f1f12255a2d,globals_version的映射修改8.1对应1.3.6而不是1.5,,hostclass-type-argument-delete,hostclass-type-argument-delete,resource-package-ensure-modify,resource-package-name-modify,,
0,-1,-1,236,postgresql,25b11a2e6b33f62b09095ecfc3280ac8da7ab8e2,package增加tag属性 方便管理,,hostclass-type-argument-delete,hostclass-type-argument-delete,relation-order-->-delete,,,
12,1,1,51,mysql,26204437ef852951d4f998298867855b6eb1488d,增加includedir参数,,hostclass-type-argument-add,hostclass-type-argument-add,hostclass-type-argument-add,relation-order-->-add,,
-1,4,1,187,postgresql,2718f14017cdf4104f32f9bf30e83eb52ca27359,"增加Amazon的系统判断选项,amazon=9.2",,hostclass-type-argument-add,hostclass-type-argument-add,vardef-var-name-modify,type-vardef-ifstatement-modify,,
-1,-1,-1,271,postgresql,27c5cc0304dc2b7b0bda351b92315f445bf21044,对package_ensure参数增加'absent'的映射purged,,function-fail-name-modify,function-warning-name-modify,function-fail-name-modify,,,
-1,-1,-1,189,postgresql,2876dacb94296a2049303a1047722d278761a636,postgresql::repo增加ensure参数,,function-join-param-modify,function-validate_re-param-modify,,,,
11,16,10,144,mysql,29788fb4c492865b5246daef6cbefe99c4aa067d,"require依赖错误,应该是package_name写成service_name",,vardef-var-name-modify,function-pick-param-modify,vardef-var-name-modify,function-pick-param-modify,function-pick-param-modify,
3,-1,-1,130,mysql,2abccab4d954436fe7239e7bf75809b05d528f8c,database_grant 修改为mysql_grant,,function-include-param-modify,function-include-param-modify,relation-order-->-modify,,,
-1,-1,1,179,postgresql,2b81d5cb634367176d749540706779bcf72d5f89,增加参数,,ifstatement-if-test-modify,function-fail-param-modify,,,,
13,1,1,216,postgresql,2b81d5cb634367176d749540706779bcf72d5f89,增加参数,,casestatement-option-Suse-delete,casestatement-option-Suse-delete,casestatement-option-Suse-delete,casestatement-option-Suse-delete,,
-1,-1,2,30,mysql,2e82660446aec2e2762a3b06c864fe07cc2f3c76,"增加根据operatingsystem的判断,opensuse/sles",,casestatement-option-name-add,casestatement-option-/data_directory|hba_file|ident_file|include|listen_addresses|port|max_connections|superuser_reserved_connections|unix_socket_directory|unix_socket_group|unix_socket_permissions|bonjour|bonjour_name|ssl|ssl_ciphers|shared_buffers|max_prepared_transactions|max_files_per_process|shared_preload_libraries|wal_level|wal_buffers|archive_mode|max_wal_senders|hot_standby|logging_collector|silent_mode|track_activity_query_size|autovacuum_max_workers|autovacuum_freeze_max_age|max_locks_per_transaction|max_pred_locks_per_transaction|restart_after_crash|lc_messages|lc_monetary|lc_numeric|lc_time/-delete,,,,
3,-1,-1,109,mysql,30249552d4180a1967276aeef70af139b06cc519,修改ensure的present值为变量,,casestatement-option-name-add,casestatement-option-/data_directory|hba_file|ident_file|include|listen_addresses|port|max_connections|superuser_reserved_connections|unix_socket_directory|unix_socket_group|unix_socket_permissions|bonjour|bonjour_name|ssl|ssl_ciphers|shared_buffers|max_prepared_transactions|max_files_per_process|shared_preload_libraries|wal_level|wal_buffers|archive_mode|max_wal_senders|hot_standby|logging_collector|silent_mode|track_activity_query_size|autovacuum_max_workers|autovacuum_freeze_max_age|max_locks_per_transaction|max_pred_locks_per_transaction|restart_after_crash/-delete,,,,
-1,7,1,164,postgresql,30973ff76677504bba02ed79ddf466b2a2b0c6f4,,,resource-database-notify-modify,,,,,
-1,-1,-1,239,postgresql,32ebbb5e34b9dbaf46f75b6b6ee9efb6ac6db7c6,更改变量名称version为postgresql::repo::version,,selector-value-::lsbdistcodename-add,,,,,
-1,14,-1,140,mysql,333be5fd76fe9098bd06d25052df4100fdc831d0,增加file的用户和文件属性 user mode,,casestatement-option-SLES-delete,,,,,
12,1,1,180,postgresql,3476828518de2dd86fb380ad9d6e7d95f6c70cfc,增加类变量,,type-varible-selector-modify,,,,,
20,7,1,192,postgresql,3504405cf0b0be280d12434b83df648b7aab815b,变量赋值取消条件判断,,type-veriable-selector-modify,,,,,
17,-1,-1,100,mysql,369c83126b4b68f5fd8b32d0278f89b35c0b63c6,"自定义资源名称修改,database_user修改为mysql_user",,type-casestatement-function-modify,,,,,
17,-1,-1,131,mysql,369c83126b4b68f5fd8b32d0278f89b35c0b63c6,"自定义资源名称修改,database_user修改为mysql_user",,casestatement-case-test-modify,,,,,
9,4,1,160,postgresql,36bbd6ed2a9f769ee2a02766920637c43505a9b4,增加operatingsystemrelease的映射ubuntu14.10->9.4,,function-mysql_deepmerge-param-modify,,,,,
8,4,1,174,postgresql,375308a12db763433dd7db42d066fb37a8f34ef2,增加operatingsystemrelease的映射ubuntu14.10->9.4,,resource-database_user-title-modify,,,,,
16,8,-1,232,postgresql,3896baeabb7ed2a1be19e705aa405560f5ea06f0,exec 执行路径path 增加/usr/bin:/usr/local/bin,,resource-database_user-title-modify,,,,,
21,3,1,16,mysql,3a6a6c63580a71058aef74176d461547a3f0a660,"对opensuse系统版本比较由大于13.1,改为13",,resource-file-selinux_ignore_defaults-add,,,,,
20,7,1,32,mysql,3ca7d958dff8115262090ad0e62ef828bad90db5,"根据系统operatingsystem和系统版本operatingsystemrelease判断,赋值,fedora19以上使用mariadb",,resource-mysql_datadir-log_error-add,,,,,
-1,14,-1,122,mysql,3daceba34d0131774cfbe548170d7aad3cc74994,增加file的文件属性mode,,resource-database_grant-require-modify,,,,,
-1,-1,-1,253,postgresql,4334dc7bd96f9c652b74ff65694dc9c17fd3f2a5,增加依赖关系,,resource-file-group-modify,,,,,
-1,-1,1,260,postgresql,435d63297abad00910adb3acaa8660d15a01e563,自定义类增加comment属性,,resource-file-ensure-add,,,,,
12,1,1,257,postgresql,435d63297abad00910adb3acaa8660d15a01e563,增加类属性参数,,resource-file-type-modify,,,,,
9,4,1,158,postgresql,46567450fafe1376d42b933c43e7f6973ef38df1,"系统版本处理,",,selector-value-::osfamily-add,,,,,
5,0,0,2,mysql,46fe1ea51206dd8cb50d1b5252d9d9cc97e4042e,继承类由globals改为params,,type-not--modify,,,,,
5,0,0,7,mysql,46fe1ea51206dd8cb50d1b5252d9d9cc97e4042e,继承类由globals改为params,,resource-class-ensure-add,,,,,
10,1,1,95,mysql,46fe1ea51206dd8cb50d1b5252d9d9cc97e4042e,修改类参数为对应类的参数,,type-ifstatement-casestatement-modify,,,,,
-1,-1,-1,1,mysql,473a3c330798d09e3fa686d155b6704699fa0441,"fatal函数修改为fail,warn函数修改为warning",,casestatement-option-Ubuntu-delete,,,,,
